,,Tax_%_GDP,GINI_Index,Social_benefits_expense_%_GDP,Interest_expense_%_GDP,OilRrents_%_GDP,Agriculture_%_GDP,ControlofCorruption,GovernmentEffectiveness,RegulatoryQuality,RuleofLaw,Political_StabilityNoViolence,VoiceandAccountability
,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
País,Ano,,,,,,,,,,,,
Afghanistan,2006,7.228557482680625,39.96,0.774103465675255,0.0489718534893225,0.0221440890371755,28.63596858446855,-1.4328898191452026,-1.4303429126739502,-1.6679019927978516,-1.863188624382019,-2.221301555633545,-1.110293984413147
Afghanistan,2007,6.178427277791213,39.96,1.28860123638499,0.0249646976115947,0.0146957032171999,30.105011357401256,-1.5873314142227173,-1.403351664543152,-1.6882569789886477,-1.8296661376953125,-2.410581350326538,-1.0576539039611816
Afghanistan,2008,6.246937845181317,35.14,3.2566988861128343,0.0199202698643341,0.0161380341741951,24.89227000597417,-1.638286590576172,-1.4960888624191284,-1.6215826272964478,-1.864379525184632,-2.6904773712158203,-1.168901801109314
Afghanistan,2009,8.866482604710741,39.96,0.9658959106521292,0.0178891081692614,0.0054577824865169,29.29750105472589,-1.5347959995269775,-1.483899474143982,-1.6743111610412598,-1.847092270851136,-2.71268892288208,-1.375496506690979
Afghanistan,2010,9.659991363273251,38.14,0.786304741372383,0.0121723905536795,0.0049640567581699,26.21006853745515,-1.6361769437789917,-1.4546111822128296,-1.5328609943389893,-1.8454265594482424,-2.5791518688201904,-1.4044681787490845
Afghanistan,2011,9.508390571418571,40.019999999999996,1.0307675777332377,0.0122599632593668,0.0066161620844134,23.74366398775434,-1.579173922538757,-1.44844388961792,-1.5405864715576172,-1.8965461254119875,-2.5020596981048584,-1.3359769582748413
Afghanistan,2012,8.042776700442717,35.72,0.9762000852962356,0.0161870903441698,0.109759658709867,24.390873626370983,-1.41974139213562,-1.360195875167847,-1.19311785697937,-1.6430809497833252,-2.4185614585876465,-1.267430067062378
Afghanistan,2013,7.577500984237309,36.66,1.1009328878938476,0.0257751182420577,0.0040171082591659,22.810662736176635,-1.4365103244781494,-1.3853824138641355,-1.1931370496749878,-1.597347855567932,-2.5193490982055664,-1.2400683164596558
